,location,date,ML,Low_90,High_90,Low_50,High_50,country_region_code,sub_region_1,sub_region_2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,Egypt,2020-03-09,3.0,1.01,6.99,2.04,4.45,EG,,,-1.0,3.0,4.0,2.0,16.0,-1.0
1,Egypt,2020-03-10,2.51,1.01,4.63,1.84,3.36,EG,,,2.0,8.0,7.0,5.0,13.0,-1.0
2,Egypt,2020-03-11,2.15,0.88,3.83,1.66,2.9,EG,,,3.0,13.0,8.0,10.0,12.0,-3.0
3,Egypt,2020-03-12,1.96,0.78,3.42,1.48,2.58,EG,,,-63.0,-51.0,-60.0,-66.0,-61.0,20.0
4,Egypt,2020-03-13,1.82,0.68,3.14,1.35,2.37,EG,,,-42.0,-31.0,-41.0,-48.0,-33.0,10.0
5,Egypt,2020-03-14,1.8,0.7000000000000001,3.0700000000000003,1.36,2.34,EG,,,-16.0,-5.0,-17.0,-22.0,-15.0,5.0
6,Egypt,2020-03-15,1.91,0.8200000000000001,3.13,1.53,2.49,EG,,,-12.0,6.0,-6.0,-8.0,-5.0,2.0
7,Egypt,2020-03-16,1.91,0.85,3.06,1.5,2.41,EG,,,-11.0,4.0,-6.0,-11.0,-1.0,3.0
8,Egypt,2020-03-17,2.01,1.0,3.12,1.62,2.49,EG,,,-19.0,0.0,-18.0,-17.0,-7.0,5.0
9,Egypt,2020-03-18,2.0,1.04,3.0500000000000003,1.66,2.49,EG,,,-22.0,-3.0,-20.0,-21.0,-11.0,7.0
10,Egypt,2020-03-19,1.87,0.94,2.85,1.55,2.34,EG,,,-35.0,-9.0,-30.0,-31.0,-15.0,9.0
11,Egypt,2020-03-20,1.81,0.93,2.77,1.51,2.27,EG,,,-40.0,-13.0,-30.0,-36.0,-13.0,9.0
12,Egypt,2020-03-21,1.71,0.86,2.64,1.4,2.13,EG,,,-39.0,-15.0,-31.0,-39.0,-18.0,9.0
13,Egypt,2020-03-22,1.75,0.9,2.62,1.46,2.17,EG,,,-43.0,-20.0,-35.0,-44.0,-27.0,12.0
14,Egypt,2020-03-23,1.62,0.78,2.45,1.33,2.02,EG,,,-46.0,-25.0,-39.0,-48.0,-27.0,14.0
15,Egypt,2020-03-24,1.58,0.79,2.43,1.27,1.94,EG,,,-44.0,-18.0,-39.0,-47.0,-31.0,14.0
16,Egypt,2020-03-25,1.55,0.74,2.34,1.27,1.93,EG,,,-55.0,-30.0,-47.0,-56.0,-37.0,17.0
17,Egypt,2020-03-26,1.49,0.73,2.31,1.22,1.87,EG,,,-57.0,-29.0,-50.0,-57.0,-38.0,18.0
18,Egypt,2020-03-27,1.43,0.66,2.21,1.17,1.81,EG,,,-75.0,-50.0,-57.0,-76.0,-50.0,18.0
19,Egypt,2020-03-28,1.42,0.66,2.19,1.15,1.78,EG,,,-73.0,-47.0,-57.0,-74.0,-55.0,20.0
20,Egypt,2020-03-29,1.37,0.61,2.12,1.09,1.71,EG,,,-50.0,-24.0,-40.0,-52.0,-35.0,15.0
21,Egypt,2020-03-30,1.37,0.64,2.14,1.12,1.74,EG,,,-53.0,-30.0,-45.0,-56.0,-35.0,16.0
22,Egypt,2020-03-31,1.21,0.47,1.95,0.94,1.55,EG,,,-54.0,-29.0,-46.0,-56.0,-36.0,16.0
23,Egypt,2020-04-01,1.52,0.8,2.27,1.22,1.82,EG,,,-52.0,-26.0,-43.0,-54.0,-36.0,15.0
24,Egypt,2020-04-02,1.62,0.92,2.34,1.39,1.98,EG,,,-53.0,-22.0,-44.0,-54.0,-36.0,16.0
25,Egypt,2020-04-03,1.56,0.89,2.27,1.33,1.9,EG,,,-66.0,-27.0,-47.0,-68.0,-44.0,16.0
26,Egypt,2020-04-04,1.81,1.17,2.5,1.59,2.14,EG,,,-64.0,-28.0,-49.0,-67.0,-49.0,17.0
27,Egypt,2020-04-05,2.02,1.41,2.67,1.81,2.33,EG,,,-46.0,-11.0,-36.0,-51.0,-35.0,15.0
28,Egypt,2020-04-06,2.03,1.46,2.65,1.83,2.32,EG,,,-46.0,-12.0,-37.0,-51.0,-34.0,16.0
29,Egypt,2020-04-07,1.93,1.38,2.51,1.75,2.22,EG,,,-57.0,-4.0,-36.0,-50.0,-35.0,16.0
30,Egypt,2020-04-08,1.82,1.3,2.39,1.64,2.09,EG,,,-57.0,-5.0,-35.0,-50.0,-35.0,15.0
31,Egypt,2020-04-09,1.7,1.18,2.23,1.54,1.98,EG,,,-57.0,-2.0,-35.0,-49.0,-34.0,16.0
32,Egypt,2020-04-10,1.43,0.94,1.98,1.26,1.69,EG,,,-70.0,-18.0,-42.0,-63.0,-41.0,15.0
33,Egypt,2020-04-11,1.33,0.8300000000000001,1.86,1.17,1.6,EG,,,-67.0,-18.0,-42.0,-62.0,-45.0,16.0
34,Kuwait,2020-03-27,3.0,1.01,6.99,2.04,4.45,KW,,,-62.0,-29.0,-61.0,-62.0,-36.0,20.0
35,Kuwait,2020-03-28,2.71,1.12,4.88,2.08,3.67,KW,,,-58.0,-30.0,-51.0,-51.0,-34.0,19.0
36,Kuwait,2020-03-29,2.53,1.15,4.25,1.97,3.27,KW,,,-56.0,-30.0,-48.0,-49.0,-42.0,23.0
37,Kuwait,2020-03-30,2.49,1.22,3.96,1.97,3.11,KW,,,-59.0,-34.0,-52.0,-49.0,-44.0,24.0
38,Kuwait,2020-03-31,2.16,1.0,3.41,1.7,2.7,KW,,,-59.0,-35.0,-52.0,-51.0,-44.0,24.0
39,Kuwait,2020-04-01,2.5,1.41,3.69,2.08,3.02,KW,,,-60.0,-35.0,-52.0,-53.0,-46.0,25.0
40,Kuwait,2020-04-02,2.62,1.61,3.67,2.25,3.1,KW,,,-62.0,-37.0,-56.0,-56.0,-46.0,28.0
41,Kuwait,2020-04-03,2.73,1.83,3.68,2.39,3.15,KW,,,-67.0,-41.0,-65.0,-64.0,-38.0,22.0
42,Kuwait,2020-04-04,2.64,1.83,3.49,2.31,2.99,KW,,,-61.0,-36.0,-54.0,-53.0,-40.0,22.0
43,Kuwait,2020-04-05,2.6,1.87,3.38,2.33,2.95,KW,,,-59.0,-33.0,-51.0,-52.0,-48.0,25.0
44,Kuwait,2020-04-06,2.37,1.69,3.08,2.1,2.67,KW,,,-60.0,-32.0,-51.0,-48.0,-49.0,25.0
45,Kuwait,2020-04-07,2.16,1.53,2.84,1.93,2.47,KW,,,-64.0,-42.0,-56.0,-58.0,-56.0,30.0
46,Kuwait,2020-04-08,2.04,1.44,2.69,1.84,2.36,KW,,,-65.0,-42.0,-54.0,-58.0,-56.0,30.0
47,Kuwait,2020-04-09,1.86,1.29,2.5,1.66,2.16,KW,,,-66.0,-42.0,-58.0,-61.0,-55.0,33.0
48,Kuwait,2020-04-10,1.58,1.01,2.19,1.39,1.88,KW,,,-69.0,-42.0,-65.0,-66.0,-44.0,23.0
49,Kuwait,2020-04-11,1.4,0.8200000000000001,1.99,1.17,1.65,KW,,,-62.0,-34.0,-53.0,-56.0,-48.0,25.0
50,Lebanon,2020-03-11,3.0,1.01,6.99,2.04,4.45,LB,,,-11.0,21.0,1.0,-19.0,-13.0,3.0
51,Lebanon,2020-03-12,2.51,1.01,4.63,1.84,3.36,LB,,,-32.0,-1.0,-19.0,-33.0,-26.0,7.0
52,Lebanon,2020-03-13,2.28,0.97,3.99,1.78,3.0500000000000003,LB,,,-46.0,-16.0,-31.0,-36.0,-33.0,11.0
53,Lebanon,2020-03-15,2.04,0.86,3.52,1.58,2.69,LB,,,-55.0,-16.0,-31.0,-42.0,-24.0,9.0
54,Lebanon,2020-03-16,1.96,0.8300000000000001,3.31,1.52,2.5500000000000003,LB,,,-56.0,-27.0,-38.0,-44.0,-51.0,14.0
55,Lebanon,2020-03-17,1.82,0.73,3.06,1.43,2.4,LB,,,-62.0,-36.0,-51.0,-58.0,-55.0,17.0
56,Lebanon,2020-03-18,1.92,0.8300000000000001,3.09,1.54,2.48,LB,,,-62.0,-33.0,-51.0,-62.0,-56.0,18.0
57,Lebanon,2020-03-19,1.91,0.85,3.01,1.5,2.39,LB,,,-63.0,-36.0,-50.0,-78.0,-58.0,19.0
58,Lebanon,2020-03-20,1.88,0.88,2.95,1.49,2.34,LB,,,-65.0,-34.0,-51.0,-78.0,-58.0,21.0
59,Lebanon,2020-03-21,1.9,0.9,2.88,1.56,2.38,LB,,,-64.0,-31.0,-48.0,-80.0,-48.0,16.0
60,Lebanon,2020-03-22,1.89,0.97,2.87,1.54,2.32,LB,,,-75.0,-47.0,-60.0,-84.0,-45.0,16.0
61,Lebanon,2020-03-23,1.87,0.98,2.8000000000000003,1.55,2.3000000000000003,LB,,,-70.0,-42.0,-55.0,-81.0,-65.0,21.0
62,Lebanon,2020-03-24,1.75,0.89,2.64,1.44,2.16,LB,,,-68.0,-40.0,-54.0,-81.0,-64.0,21.0
63,Lebanon,2020-03-25,1.62,0.77,2.47,1.32,2.02,LB,,,-68.0,-40.0,-49.0,-81.0,-67.0,21.0
64,Lebanon,2020-03-26,1.52,0.7000000000000001,2.37,1.24,1.93,LB,,,-65.0,-38.0,-43.0,-80.0,-63.0,20.0
65,Lebanon,2020-03-27,1.29,0.48,2.13,0.99,1.67,LB,,,-69.0,-42.0,-47.0,-79.0,-62.0,22.0
66,Lebanon,2020-03-28,1.22,0.41,2.06,0.89,1.57,LB,,,-73.0,-47.0,-58.0,-84.0,-55.0,19.0
67,Lebanon,2020-03-29,1.11,0.29,1.92,0.8300000000000001,1.52,LB,,,-73.0,-48.0,-59.0,-84.0,-41.0,15.0
68,Lebanon,2020-03-30,1.02,0.22,1.83,0.71,1.4,LB,,,-65.0,-39.0,-52.0,-78.0,-60.0,19.0
69,Lebanon,2020-03-31,0.89,0.12,1.67,0.58,1.27,LB,,,-60.0,-33.0,-46.0,-75.0,-59.0,18.0
70,Lebanon,2020-04-01,0.8,0.08,1.59,0.51,1.2,LB,,,-63.0,-35.0,-51.0,-77.0,-59.0,19.0
71,Lebanon,2020-04-02,0.75,0.03,1.52,0.45,1.14,LB,,,-60.0,-31.0,-39.0,-77.0,-59.0,18.0
72,Lebanon,2020-04-03,0.6900000000000001,0.03,1.51,0.42,1.11,LB,,,-62.0,-30.0,-40.0,-77.0,-58.0,20.0
73,Lebanon,2020-04-04,0.63,0.03,1.5,0.35000000000000003,1.03,LB,,,-65.0,-34.0,-41.0,-80.0,-49.0,16.0
74,Lebanon,2020-04-05,0.65,0.0,1.49,0.35000000000000003,1.04,LB,,,-68.0,-39.0,-47.0,-81.0,-37.0,13.0
75,Lebanon,2020-04-06,0.66,0.03,1.55,0.35000000000000003,1.05,LB,,,-64.0,-38.0,-45.0,-78.0,-59.0,18.0
76,Lebanon,2020-04-07,0.74,0.02,1.6,0.44,1.17,LB,,,-60.0,-31.0,-41.0,-74.0,-58.0,18.0
77,Lebanon,2020-04-08,0.76,0.05,1.65,0.47,1.21,LB,,,-59.0,-29.0,-39.0,-74.0,-57.0,17.0
78,Lebanon,2020-04-09,0.8300000000000001,0.06,1.71,0.52,1.28,LB,,,-59.0,-29.0,-37.0,-76.0,-58.0,18.0
79,Lebanon,2020-04-10,0.78,0.04,1.65,0.42,1.16,LB,,,-68.0,-39.0,-51.0,-82.0,-65.0,22.0
80,Lebanon,2020-04-11,0.79,0.04,1.66,0.48,1.23,LB,,,-65.0,-31.0,-45.0,-78.0,-48.0,16.0
81,Saudi Arabia,2020-03-11,3.0,1.01,6.99,2.04,4.45,SA,,,-7.0,0.0,4.0,-21.0,-9.0,5.0
82,Saudi Arabia,2020-03-12,2.94,1.27,5.17,2.27,3.92,SA,,,-10.0,0.0,-12.0,-25.0,-9.0,7.0
83,Saudi Arabia,2020-03-13,2.63,1.19,4.29,2.05,3.35,SA,,,-16.0,-1.0,-17.0,-31.0,-5.0,6.0
84,Saudi Arabia,2020-03-14,2.23,1.01,3.64,1.78,2.88,SA,,,-16.0,0.0,-14.0,-28.0,0.0,5.0
85,Saudi Arabia,2020-03-15,2.16,1.03,3.45,1.76,2.77,SA,,,-14.0,4.0,-8.0,-34.0,-11.0,7.0
86,Saudi Arabia,2020-03-16,2.23,1.12,3.38,1.84,2.78,SA,,,-29.0,2.0,-19.0,-43.0,-19.0,9.0
87,Saudi Arabia,2020-03-17,2.11,1.1,3.2,1.75,2.62,SA,,,-35.0,-5.0,-25.0,-47.0,-24.0,11.0
88,Saudi Arabia,2020-03-18,2.37,1.41,3.38,2.0,2.81,SA,,,-38.0,-8.0,-29.0,-50.0,-27.0,13.0
89,Saudi Arabia,2020-03-19,2.5500000000000003,1.68,3.49,2.2,2.94,SA,,,-41.0,-12.0,-42.0,-56.0,-31.0,16.0
90,Saudi Arabia,2020-03-20,2.52,1.71,3.35,2.25,2.93,SA,,,-50.0,-18.0,-59.0,-62.0,-21.0,14.0
91,Saudi Arabia,2020-03-21,2.64,1.92,3.42,2.4,3.02,SA,,,-49.0,-16.0,-50.0,-69.0,-20.0,14.0
92,Saudi Arabia,2020-03-22,2.58,1.93,3.3000000000000003,2.33,2.89,SA,,,-49.0,-18.0,-43.0,-69.0,-37.0,18.0
93,Saudi Arabia,2020-03-23,2.42,1.8,3.06,2.2,2.72,SA,,,-58.0,-25.0,-51.0,-72.0,-42.0,21.0
94,Saudi Arabia,2020-03-24,2.17,1.6,2.79,1.96,2.45,SA,,,-56.0,-22.0,-51.0,-73.0,-43.0,22.0
95,Saudi Arabia,2020-03-25,1.92,1.36,2.5,1.72,2.19,SA,,,-54.0,-19.0,-51.0,-73.0,-44.0,21.0
96,Saudi Arabia,2020-03-26,1.64,1.11,2.23,1.45,1.91,SA,,,-57.0,-22.0,-61.0,-76.0,-46.0,26.0
97,Saudi Arabia,2020-03-27,1.52,0.99,2.1,1.34,1.8,SA,,,-65.0,-29.0,-74.0,-82.0,-38.0,21.0
98,Saudi Arabia,2020-03-28,1.35,0.81,1.91,1.13,1.58,SA,,,-56.0,-24.0,-59.0,-77.0,-31.0,19.0
99,Saudi Arabia,2020-03-29,1.33,0.81,1.91,1.13,1.58,SA,,,-54.0,-24.0,-49.0,-75.0,-45.0,23.0
100,Saudi Arabia,2020-03-30,1.24,0.7000000000000001,1.79,1.05,1.5,SA,,,-56.0,-26.0,-51.0,-75.0,-46.0,22.0
101,Saudi Arabia,2020-03-31,1.13,0.59,1.68,0.94,1.39,SA,,,-55.0,-26.0,-52.0,-74.0,-46.0,22.0
102,Saudi Arabia,2020-04-01,1.3,0.77,1.86,1.11,1.56,SA,,,-56.0,-26.0,-52.0,-74.0,-46.0,22.0
103,Saudi Arabia,2020-04-02,1.38,0.86,1.93,1.18,1.62,SA,,,-57.0,-26.0,-61.0,-77.0,-46.0,26.0
104,Saudi Arabia,2020-04-03,1.38,0.87,1.92,1.18,1.61,SA,,,-66.0,-32.0,-74.0,-83.0,-40.0,21.0
105,Saudi Arabia,2020-04-04,1.5,1.01,2.04,1.3,1.72,SA,,,-58.0,-28.0,-61.0,-78.0,-34.0,20.0
106,Saudi Arabia,2020-04-05,1.37,0.87,1.87,1.16,1.57,SA,,,-55.0,-24.0,-52.0,-76.0,-47.0,23.0
107,Saudi Arabia,2020-04-06,1.52,1.02,2.0,1.36,1.77,SA,,,-56.0,-25.0,-53.0,-76.0,-48.0,22.0
108,Saudi Arabia,2020-04-07,1.61,1.16,2.12,1.41,1.8,SA,,,-75.0,-38.0,-64.0,-83.0,-65.0,29.0
109,Saudi Arabia,2020-04-08,1.67,1.22,2.14,1.51,1.89,SA,,,-74.0,-38.0,-65.0,-82.0,-63.0,29.0
110,Saudi Arabia,2020-04-09,1.83,1.41,2.3000000000000003,1.69,2.06,SA,,,-73.0,-37.0,-70.0,-83.0,-62.0,32.0
111,Saudi Arabia,2020-04-10,1.78,1.37,2.22,1.63,1.98,SA,,,-78.0,-44.0,-80.0,-85.0,-49.0,24.0
112,Saudi Arabia,2020-04-11,1.76,1.37,2.19,1.63,1.97,SA,,,-72.0,-36.0,-68.0,-83.0,-49.0,25.0
113,United Arab Emirates,2020-03-20,3.0,1.01,6.99,2.04,4.45,AE,,,-37.0,-11.0,-45.0,-44.0,-12.0,11.0
114,United Arab Emirates,2020-03-21,2.8000000000000003,1.2,4.87,2.15,3.7,AE,,,-32.0,-12.0,-37.0,-42.0,-8.0,10.0
115,United Arab Emirates,2020-03-22,3.16,1.7,4.8100000000000005,2.61,3.91,AE,,,-30.0,-13.0,-36.0,-45.0,-17.0,13.0
116,United Arab Emirates,2020-03-23,2.72,1.49,4.01,2.28,3.33,AE,,,-27.0,14.0,-38.0,-46.0,-20.0,14.0
117,United Arab Emirates,2020-03-24,2.72,1.67,3.88,2.32,3.23,AE,,,-39.0,-6.0,-43.0,-53.0,-28.0,17.0
118,United Arab Emirates,2020-03-25,2.58,1.63,3.58,2.19,2.99,AE,,,-50.0,-18.0,-47.0,-60.0,-35.0,21.0
119,United Arab Emirates,2020-03-26,2.31,1.46,3.23,2.0,2.73,AE,,,-55.0,-13.0,-54.0,-67.0,-40.0,25.0
120,United Arab Emirates,2020-03-27,2.33,1.54,3.18,2.0,2.67,AE,,,-80.0,-60.0,-80.0,-84.0,-52.0,25.0
121,United Arab Emirates,2020-03-28,2.16,1.43,2.96,1.9,2.53,AE,,,-72.0,-47.0,-68.0,-80.0,-56.0,28.0
122,United Arab Emirates,2020-03-29,1.86,1.13,2.58,1.61,2.21,AE,,,-55.0,-26.0,-53.0,-69.0,-45.0,26.0
123,United Arab Emirates,2020-03-30,2.16,1.49,2.88,1.9,2.47,AE,,,-57.0,-27.0,-53.0,-69.0,-46.0,25.0
124,United Arab Emirates,2020-03-31,1.96,1.32,2.64,1.7,2.24,AE,,,-56.0,-26.0,-53.0,-69.0,-46.0,25.0
125,United Arab Emirates,2020-04-01,2.48,1.88,3.12,2.26,2.77,AE,,,-56.0,-24.0,-53.0,-70.0,-46.0,25.0
126,United Arab Emirates,2020-04-02,2.5500000000000003,2.01,3.15,2.36,2.83,AE,,,-58.0,-25.0,-56.0,-71.0,-47.0,28.0
127,United Arab Emirates,2020-04-03,2.52,2.03,3.08,2.33,2.76,AE,,,-69.0,-39.0,-75.0,-79.0,-44.0,22.0
128,United Arab Emirates,2020-04-04,2.43,1.96,2.93,2.26,2.66,AE,,,-58.0,-27.0,-58.0,-72.0,-37.0,21.0
129,United Arab Emirates,2020-04-05,2.2,1.77,2.69,2.06,2.44,AE,,,-61.0,-30.0,-58.0,-79.0,-57.0,31.0
130,United Arab Emirates,2020-04-06,2.04,1.63,2.51,1.88,2.24,AE,,,-63.0,-32.0,-58.0,-78.0,-56.0,30.0
131,United Arab Emirates,2020-04-07,1.89,1.46,2.3000000000000003,1.75,2.1,AE,,,-63.0,-30.0,-73.0,-78.0,-55.0,30.0
132,United Arab Emirates,2020-04-08,1.59,1.2,2.03,1.45,1.79,AE,,,-63.0,-30.0,-74.0,-78.0,-55.0,30.0
133,United Arab Emirates,2020-04-09,1.57,1.17,1.98,1.45,1.79,AE,,,-64.0,-31.0,-76.0,-79.0,-55.0,33.0
134,United Arab Emirates,2020-04-10,1.36,0.97,1.77,1.22,1.55,AE,,,-74.0,-46.0,-86.0,-84.0,-49.0,23.0
135,United Arab Emirates,2020-04-11,1.35,0.97,1.77,1.22,1.55,AE,,,-64.0,-32.0,-77.0,-79.0,-45.0,24.0
